subject,RT,minnms,baselinenms,minretinalslip,baselineretinalslip,immobduration,immobmsamplitude,lastmstime,lastmsamplitude,contrast,eccentricity,mspresent,earlymspresent,latemspresent,blinkpresent,nblinks,session,trial
1,4.879,0,0,NaN,13.9871794871795,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,1
1,5.212,0,0,NaN,13.4235294117647,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,2
1,5.85,0,1,NaN,13.8105263157895,2.249,0.0509539577349335,2.249,0.0509539577349335,1,2,1,0,1,0,0,2,3
1,6.53,0,1,NaN,13.55,4.851,0.0720227929504565,4.851,0.0720227929504565,1,2,1,0,1,1,2,2,5
1,6.092,2.85714285714286,3,NaN,12.7319587628866,0.307,0.181344381750481,0.307,0.181344381750481,1,2,1,0,1,0,0,2,7
1,5.064,0,1,NaN,15.275,2.095,0.125185547399313,2.095,0.125185547399313,1,2,1,0,1,0,0,2,11
1,3.56,0,0,NaN,13.7307692307692,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,12
1,5.881,0,3,NaN,13.1397849462366,1.204,0.157719370137834,1.204,0.157719370137834,1,2,1,0,1,0,0,2,13
1,5.807,0,0,NaN,13.5773195876289,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,15
1,5.162,0,1,NaN,13.2142857142857,4.846,0.0858882890871091,4.846,0.0858882890871091,1,2,1,1,0,0,0,2,16
1,6.043,1.42857142857143,1,NaN,14.7474747474747,0.875,0.0886003971305603,0.875,0.0886003971305603,1,2,1,0,1,0,0,2,17
1,3.258,0,0,NaN,15.0652173913043,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,19
1,2.676,0,0,NaN,13.5294117647059,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,20
1,4.757,0,1,NaN,14,1.64,0.0945496512500194,1.64,0.0945496512500194,1,2,1,0,1,0,0,2,22
1,4.365,0,1,NaN,15.9705882352941,4.249,0.0648990398616252,4.249,0.0648990398616252,1,2,1,1,0,0,0,2,23
1,3.726,0,1,NaN,15.5272727272727,3.434,0.0865560976617195,3.434,0.0865560976617195,1,2,1,1,0,0,0,2,24
1,2.962,0,0,NaN,14.975,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,25
1,3.296,0,0,NaN,14.1304347826087,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,26
1,4.746,2.85714285714286,2,NaN,14.2777777777778,0.344,0.0873309942686916,0.344,0.0873309942686916,1,2,1,0,1,0,0,2,27
1,4.791,0,2,NaN,14.9189189189189,1.959,0.0846227167674721,1.959,0.0846227167674721,1,2,1,1,1,0,0,2,28
1,4.661,0,0,NaN,15.1081081081081,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,29
1,3.978,0,0,NaN,13.5833333333333,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,30
1,3.583,0,0,NaN,14.4423076923077,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,31
1,5.64,0,0,NaN,14.0537634408602,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,32
1,5.492,0,1,NaN,14.7777777777778,5.051,0.0713517430455473,5.051,0.0713517430455473,1,2,1,1,0,0,0,2,33
1,3.382,0,1,NaN,14.7173913043478,2.56,0.143502634536258,2.56,0.143502634536258,1,2,1,0,1,0,0,2,34
1,4.162,0,2,NaN,15.8666666666667,1.896,0.0654027390671772,1.896,0.0654027390671772,1,2,1,0,1,0,0,2,35
1,8.096,0,2,NaN,14.2992700729927,2.583,0.0534668225049302,2.583,0.0534668225049302,1,2,1,0,1,0,0,2,36
1,6.175,0,0,NaN,14.3461538461538,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,37
1,4.398,0,0,NaN,14.5735294117647,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,38
1,3.864,0,0,NaN,14.448275862069,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,40
1,4.345,0,2,NaN,14.8870967741935,2.628,0.127669840689791,2.628,0.127669840689791,1,2,1,0,1,0,0,2,41
1,3.064,0,1,NaN,14.525,1.69,0.173165670794112,1.69,0.173165670794112,1,2,1,0,1,0,0,2,42
1,3.543,0,0,NaN,14.9019607843137,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,43
1,4.98,0,2,NaN,15.0789473684211,2.672,0.0669028571478342,2.672,0.0669028571478342,1,2,1,0,1,0,0,2,44
1,6.455,0,1,NaN,15.1203703703704,5.493,0.096188390721773,5.493,0.096188390721773,1,2,1,0,1,0,0,2,45
1,3.375,0,0,NaN,16.25,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,46
1,4.759,0,1,NaN,14.9473684210526,4.504,0.0723919839858785,4.504,0.0723919839858785,1,2,1,1,0,0,0,2,47
1,5.758,0,3,NaN,16.8085106382979,4.817,0.200112671966421,4.817,0.200112671966421,1,2,1,1,1,0,0,2,48
1,5.341,0,1,NaN,15.1764705882353,2.186,0.18066548145887,2.186,0.18066548145887,1,2,1,0,1,0,0,2,50
2,18.254,2.85714285714286,70,NaN,16.1736842105263,NaN,NaN,0.074,0.332959348033616,1,2,1,1,1,1,1,1,2
2,17.371,1.42857142857143,49,NaN,15.7363184079602,NaN,NaN,0.039,0.173424421771395,1,2,1,1,1,1,3,1,5
2,11.51,4.28571428571429,34,NaN,15.4925373134328,0.364,0.337066282915061,0.364,0.337066282915061,1,2,1,1,1,1,1,1,11
2,8.058,4.28571428571429,20,NaN,16.3888888888889,0.331,0.37572501079255,0.331,0.37572501079255,1,2,1,1,1,1,1,1,12
2,14.772,0,32,NaN,16.2727272727273,NaN,NaN,0.054,0.313174329492231,1,2,1,0,1,1,1,1,18
2,15.975,1.42857142857143,23,NaN,14.3846153846154,0.511,0.347985844783791,0.511,0.347985844783791,1,2,1,1,1,0,0,1,20
2,18.22,4.28571428571429,63,NaN,16.9340101522843,0.306,0.595153996193517,0.306,0.595153996193517,1,2,1,0,1,1,1,1,22
2,11.805,2.85714285714286,27,NaN,16.2176870748299,NaN,NaN,0.181,0.216339037196599,1,2,1,0,1,1,1,1,23
2,17.039,4.28571428571429,51,NaN,15.7526315789474,NaN,NaN,0.271,0.216026098254794,1,2,1,0,1,1,1,1,24
2,10.778,2.85714285714286,28,NaN,18.0955882352941,NaN,NaN,0.278,0.213700556208835,1,2,1,1,1,1,0,1,25
2,14.542,2.85714285714286,20,NaN,15.2077922077922,NaN,NaN,0.123,0.27252608272315,1,2,1,1,1,0,0,1,26
2,13.104,0,36,NaN,22.7232704402516,NaN,NaN,0.209,0.339198778040119,1,2,1,1,1,0,0,1,28
2,9.74,1.42857142857143,17,NaN,15.3162393162393,0.608,0.260361541612515,0.608,0.260361541612515,1,2,1,0,1,1,2,1,29
2,7.239,2.85714285714286,18,NaN,16.6575342465753,NaN,NaN,0.111,0.379635181026469,1,2,1,1,1,1,1,1,30
2,12.846,2.85714285714286,23,NaN,18.2780748663102,0.514,0.241008974744811,0.514,0.241008974744811,1,2,1,1,1,0,0,1,31
2,18.424,2.85714285714286,37,NaN,17.0416666666667,NaN,NaN,0.223,0.231680669815524,1,2,1,1,1,0,0,1,33
2,6.744,2.85714285714286,15,NaN,15.7662337662338,NaN,NaN,0.034,0.230434839298607,1,2,1,1,1,1,1,1,35
2,6.944,1.42857142857143,10,NaN,14.3260869565217,NaN,NaN,0.237,0.268648783456936,1,2,1,0,1,0,0,1,36
2,18.602,1.42857142857143,45,NaN,15.6666666666667,0.378,0.231637112489003,0.378,0.231637112489003,1,2,1,0,1,1,3,1,37
2,2.628,1.42857142857143,2,NaN,13.2692307692308,0.919,0.55974321745419,0.919,0.55974321745419,1,2,1,0,1,1,0,1,38
