subject,RT,minnms,baselinenms,minretinalslip,baselineretinalslip,immobduration,immobmsamplitude,lastmstime,lastmsamplitude,contrast,eccentricity,mspresent,earlymspresent,latemspresent,blinkpresent,nblinks,session,trial
1,5.89,0,1,12.8,12.8229166666667,1.432,0.103968247198202,1.432,0.103968247198202,1,2,1,0,1,0,0,2,4
1,3.895,0,1,12.6,15.1206896551724,3.306,0.0971114399895137,3.306,0.0971114399895137,1,2,1,0,1,0,0,2,10
1,5.275,1.42857142857143,1,13.5384615384615,13.5357142857143,0.512,0.0895194372744473,0.512,0.0895194372744473,1,2,1,0,1,0,0,2,18
1,4.23,0,1,13.4,14.4444444444444,3.296,0.150719186088458,3.296,0.150719186088458,1,2,1,0,1,0,0,2,39
1,3.998,0,0,14.2,13.95,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,49
2,7.893,1.42857142857143,14,13.6153846153846,14.6363636363636,NaN,NaN,0.126,0.480479814337909,1,2,1,1,1,1,1,1,1
2,9.322,1.42857142857143,21,14.4545454545455,15.4758064516129,NaN,NaN,0.105,0.100304821111773,1,2,1,1,1,0,0,1,8
2,12.756,1.42857142857143,24,14.4545454545455,13.8888888888889,0.318,0.148193488978877,0.318,0.148193488978877,1,2,1,1,1,0,0,1,34
2,7.525,2.85714285714286,22,13.2727272727273,13.4705882352941,NaN,NaN,0.122,0.184139503655213,1,2,1,1,1,0,0,1,42
2,7.859,0,14,15.7857142857143,15.3894736842105,NaN,NaN,0.197,0.231187318128177,1,2,1,0,1,1,1,1,43
3,6.989,0,3,20.2666666666667,18.5614035087719,1.296,0.312397418211348,1.296,0.312397418211348,1,2,1,0,1,0,0,3,3
3,8.078,1.42857142857143,9,22.3846153846154,22.7154471544715,0.786,0.378186642068198,0.786,0.378186642068198,1,2,1,0,1,0,0,3,17
3,13.238,1.42857142857143,15,22.8461538461538,24.7096774193548,0.315,0.328674706889707,0.315,0.328674706889707,1,2,1,0,1,0,0,3,27
3,11.341,1.42857142857143,15,21.0769230769231,21.9545454545455,0.554,0.182540478186703,0.554,0.182540478186703,1,2,1,0,1,0,0,3,41
3,11.737,0,7,22.1333333333333,21.7014925373134,2.93,0.16204231060212,2.93,0.16204231060212,1,2,1,0,1,0,0,3,49
4,11.187,1.42857142857143,11,19,21.8709677419355,NaN,NaN,0.074,0.0563415314369764,1,2,1,1,1,0,0,3,8
4,3.659,1.42857142857143,4,24,23.2244897959184,0.781,0.0523019981280125,0.781,0.0523019981280125,1,2,1,1,1,0,0,3,13
4,11.352,1.42857142857143,12,23.0714285714286,22.0430107526882,0.362,0.0517102281352208,0.362,0.0517102281352208,1,2,1,0,1,0,0,3,18
4,4.195,0,2,22.5333333333333,22.1864406779661,1.457,0.0868601206535631,1.457,0.0868601206535631,1,2,1,0,1,0,0,3,20
4,11.355,1.42857142857143,13,19.1538461538462,20.6290322580645,NaN,NaN,0.29,0.0725852702364499,1,2,1,1,1,0,0,3,27
5,6.223,0,1,11.8,11.8494623655914,4.153,0.0561334402774625,4.153,0.0561334402774625,1,2,1,0,1,1,1,1,4
5,6.332,0,2,12.8,12.4891304347826,1.423,0.480997497719418,1.423,0.480997497719418,1,2,1,0,1,1,1,1,11
5,5.969,1.42857142857143,10,11.5384615384615,12.6056338028169,NaN,NaN,0.119,0.321673591037144,1,2,1,1,1,1,1,1,13
5,6.852,2.85714285714286,6,11.1,12.0322580645161,0.537,0.701466029029008,0.537,0.701466029029008,1,2,1,0,1,1,1,1,32
5,7.751,0,25,13.1333333333333,12.5066666666667,1.586,1.29364104942136,1.586,1.29364104942136,1,2,1,0,1,0,0,1,41
6,3.26,0,1,18.8666666666667,18.2173913043478,3.155,0.0521339646571244,3.155,0.0521339646571244,1,2,1,1,0,0,0,3,12
6,2.609,0,0,21.1333333333333,19.6060606060606,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,20
6,4.12,0,1,21.7333333333333,21.3015873015873,3.524,0.163902999189444,3.524,0.163902999189444,1,2,1,0,1,0,0,3,28
6,4.167,1.42857142857143,1,18.1666666666667,19.5645161290323,0.496,0.206473031283005,0.496,0.206473031283005,1,2,1,0,1,0,0,3,29
6,4.22,1.42857142857143,2,21.9,24.1147540983607,0.748,0.19509923865939,0.748,0.19509923865939,1,2,1,0,1,0,0,3,39
7,3.703,0,0,14.6,13.6481481481481,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,7
7,2.672,0,0,15.5333333333333,15.1176470588235,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,16
7,5.386,0,0,13.7333333333333,13.2386363636364,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,24
7,2.672,0,1,12.4,11.4,1.864,0.510483217726622,1.864,0.510483217726622,1,2,1,0,1,0,0,3,35
7,2.606,0,0,13.9333333333333,13.3939393939394,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,49
8,7.589,0,3,10.4666666666667,10.6810344827586,2.347,0.40117132086587,2.347,0.40117132086587,1,2,1,0,1,1,1,2,14
8,6.669,0,5,9.06666666666667,10.1595744680851,2.176,1.2160482229449,2.176,1.2160482229449,1,2,1,0,1,1,1,2,27
8,9.952,1.42857142857143,13,9.81818181818182,10.1196581196581,0.598,0.133314445198061,0.598,0.133314445198061,1,2,1,0,1,1,3,2,32
8,7.148,1.42857142857143,8,11.3846153846154,10.5934065934066,0.592,0.397333683311865,0.592,0.397333683311865,1,2,1,1,1,1,2,2,44
9,5.389,0,3,26.5333333333333,27.0361445783133,4.03,0.393188705419897,4.03,0.393188705419897,1,2,1,0,1,0,0,3,22
9,7.153,0,2,25.2,26.9430894308943,4.71,0.4473346059238,4.71,0.4473346059238,1,2,1,0,1,0,0,3,36
9,7.185,1.42857142857143,7,28.1538461538462,27.9035087719298,0.77,0.348463566849954,0.77,0.348463566849954,1,2,1,0,1,0,0,3,43
9,13.41,0,4,23.2857142857143,27.0173913043478,NaN,NaN,0.033,0.371172998347107,1,2,1,0,1,1,1,3,44
9,4.916,0,1,25,23.3670886075949,4.845,0.317498515043596,4.845,0.317498515043596,1,2,1,1,0,0,0,3,50
10,7.423,0,6,20.2,18.7647058823529,1.344,0.27391080201766,1.344,0.27391080201766,1,2,1,1,1,0,0,3,22
10,11.872,1.42857142857143,12,16.9230769230769,18.9948453608247,NaN,NaN,0.12,0.194525907783455,1,2,1,0,1,0,0,3,29
10,11.139,2.85714285714286,19,15.9090909090909,19.6196319018405,0.353,0.181767416627786,0.353,0.181767416627786,1,2,1,0,1,0,0,3,30
10,14.22,4.28571428571429,34,17.4,19.0201005025126,0.379,0.381859815452453,0.379,0.381859815452453,1,2,1,1,1,0,0,3,46
10,13.519,1.42857142857143,27,17.1666666666667,18.6105263157895,0.538,0.236827473473441,0.538,0.236827473473441,1,2,1,1,1,1,1,3,50
11,6.275,0,9,20,20.1758241758242,1.295,0.31515257376525,1.295,0.31515257376525,1,2,1,1,1,0,0,1,2
11,5.383,0,5,19.5333333333333,20.5301204819277,1.27,0.0929897043171073,1.27,0.0929897043171073,1,2,1,1,1,0,0,1,9
11,4.494,0,4,22,21.34375,1.004,0.579262611206792,1.004,0.579262611206792,1,2,1,0,1,0,0,1,14
11,8.156,0,14,20.9333333333333,20.4778761061947,NaN,NaN,0.05,0.220225688685173,1,2,1,1,1,0,0,1,40
11,4.429,2.85714285714286,5,22.5,22.3103448275862,0.696,0.0507688794132671,0.696,0.0507688794132671,1,2,1,0,1,0,0,1,48
12,3.652,1.42857142857143,3,14.4615384615385,12.4468085106383,0.938,0.097927235294494,0.938,0.097927235294494,1,2,1,0,1,0,0,1,12
12,6.004,0,2,15.6,14.8571428571429,3.86,0.0960170665569882,3.86,0.0960170665569882,1,2,1,0,1,0,0,1,21
12,5.736,0,4,15,14.9710144927536,NaN,NaN,0.09,0.0937854202580226,1,2,1,0,1,1,2,1,42
12,6.9,2.85714285714286,12,11,15.9733333333333,0.463,0.156671019368527,0.463,0.156671019368527,1,2,1,0,1,1,2,1,43
12,4.655,2.85714285714286,6,14.0909090909091,14.1111111111111,NaN,NaN,0.015,1.08461533210492,1,2,1,0,1,1,1,1,45
