subject,RT,minnms,baselinenms,minretinalslip,baselineretinalslip,immobduration,immobmsamplitude,lastmstime,lastmsamplitude,contrast,eccentricity,mspresent,earlymspresent,latemspresent,blinkpresent,nblinks,session,trial
1,6.361,0,2,13.4666666666667,13.5238095238095,2.141,0.0947281417937097,2.141,0.0947281417937097,1,2,1,0,1,0,0,2,6
1,6.874,0,2,12.4,13.2521739130435,2.253,0.0913030978568292,2.253,0.0913030978568292,1,2,1,0,1,0,0,2,8
1,3.591,0,0,13,13.7884615384615,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,9
1,7.038,0,1,12.8,13.5123966942149,6.726,0.0769994735962063,6.726,0.0769994735962063,1,2,1,1,0,0,0,2,14
1,3.968,0,0,14.8666666666667,16.35,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,2,21
2,12.967,2.85714285714286,25,14.8181818181818,16,0.325,0.224698828584567,0.325,0.224698828584567,1,2,1,1,1,1,1,1,7
3,7.942,0,4,18.0666666666667,19.2936507936508,2.189,0.325461920291909,2.189,0.325461920291909,1,2,1,0,1,0,0,3,7
3,4.626,0,1,21.6666666666667,21.887323943662,3.792,0.0906851724382405,3.792,0.0906851724382405,1,2,1,0,1,0,0,3,34
3,9.773,0,7,24.2,24.5403726708075,1.541,0.26427134223139,1.541,0.26427134223139,1,2,1,0,1,0,0,3,37
3,10.593,0,5,20.0666666666667,20.1868131868132,1.108,0.228244304747281,1.108,0.228244304747281,1,2,1,0,1,0,0,3,50
4,2.66,1.42857142857143,2,22.6153846153846,22.9333333333333,0.726,0.229391024308216,0.726,0.229391024308216,1,2,1,0,1,0,0,3,28
4,13.823,1.42857142857143,12,22.6153846153846,22.1350210970464,0.545,0.272635014648524,0.545,0.272635014648524,1,2,1,1,1,0,0,3,41
4,4.276,0,4,19.8666666666667,22.45,1.374,0.0793759278776532,1.374,0.0793759278776532,1,2,1,0,1,0,0,3,45
4,9.957,1.42857142857143,13,20.4615384615385,20.74375,0.909,0.0881242713677342,0.909,0.0881242713677342,1,2,1,1,1,0,0,3,46
5,9.256,0,3,9.46666666666667,10.875,2.367,0.0534200640521854,2.367,0.0534200640521854,1,2,1,1,1,1,1,1,45
6,3.589,0,0,18.0666666666667,17.6923076923077,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,7
6,3.602,0,0,18.1333333333333,19.1153846153846,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,9
6,4.52,0,0,18.9333333333333,19.3661971830986,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,18
6,10.348,0,11,22.1333333333333,21.8518518518519,2.211,0.481706463604185,2.211,0.481706463604185,1,2,1,0,1,0,0,3,30
6,4.216,0,3,22,20.4237288135593,1.869,0.66061134393909,1.869,0.66061134393909,1,2,1,1,1,0,0,3,49
7,2.188,0,0,11.6666666666667,13.6666666666667,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,5
7,3.689,0,0,15.9333333333333,14.2407407407407,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,25
7,2.311,0,0,13.4,13.6296296296296,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,27
7,2.723,0,0,16.5333333333333,15.7714285714286,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,41
7,3.834,0,0,13.0666666666667,14.7017543859649,NaN,NaN,NaN,NaN,1,2,0,0,0,0,0,3,47
8,6.517,1.42857142857143,12,12.6,11.53125,0.356,0.518397406342859,0.356,0.518397406342859,1,2,1,1,1,1,2,2,10
8,7.503,0,8,10.1666666666667,9.97,1.992,0.367936782887311,1.992,0.367936782887311,1,2,1,1,1,1,2,2,33
8,6.606,0,1,10.2,9.8375,NaN,NaN,0.148,0.673298286117259,1,2,1,0,1,1,3,2,35
